Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g)
47203,Middle Eastern,Egyptian,African,53950.0342,450998.7263,66.0454,27375.2088
47277,Middle Eastern,Egyptian,African,329.4819,523337.3150,40657.4203,38741.7793
47278,Middle Eastern,Egyptian,African,18.2144,203702.2109,44881.1358,1350.0071
47521,Rest Africa,Namibian,African,69979.7998,389263.4415,5207.9749,9961.4315
47538,Rest Africa,Nigerian,African,125.5284,469495.4125,56766.3292,25273.6612
47592,Rest Africa,Nigerian,African,65893.4056,354254.9363,19445.2551,2699.6702
47602,Rest Africa,Nigerian,African,82355.7384,452330.9019,15606.8709,6269.1154
47640,Rest Africa,Nigerian,African,22192.7739,661694.4800,742.3748,65515.7672
47671,Rest Africa,Nigerian,African,181436.8116,725383.2808,0.0486,0.0132
47689,Rest Africa,Nigerian,African,79963.7235,535519.0333,3532.7925,23977.2753
47718,Rest Africa,Nigerian,African,78572.0075,316613.0325,368.1830,295.3920
47729,Rest Africa,Nigerian,African,50542.2936,271697.0100,9075.7888,3272.9770
47801,Rest Africa,Nigerian,African,7640.8466,2999554.5280,65367.6584,300570.3075
47808,Rest Africa,Nigerian,African,63305.7630,289287.0900,4704.0820,1135.4350
47809,Rest Africa,Nigerian,African,63500.6743,290200.7700,4749.9456,1135.2468
48094,Rest Africa,Nigerian,African,117311.9151,540409.6580,6049.0186,4736.2354
48107,Rest Africa,Nigerian,African,50069.8508,600613.8440,4.5258,43615.0684
48152,Rest Africa,Nigerian,African,5278.5141,302584.3180,19653.0134,22540.6506
48170,Rest Africa,Nigerian,African,58965.1194,351406.2801,19036.7686,5588.2525
48172,Rest Africa,Nigerian,African,76045.9077,357256.8910,169.1278,5939.3886
48194,Rest Africa,Nigerian,African,80714.6929,773621.7343,26056.1416,40885.4907
48197,Rest Africa,Nigerian,African,8041.1255,331580.3695,3306.3355,34343.6966
48224,Rest Africa,Nigerian,African,28.0200,663728.2800,38287.1400,55533.4200
48236,Rest Africa,Nigerian,African,92841.6321,465612.4720,5043.5575,8802.3250
48237,Rest Africa,Nigerian,African,67332.6067,335016.4905,10413.4228,3471.1771
48241,Rest Africa,Nigerian,African,185.7192,241728.1934,47173.2462,5708.3101
48405,Rest Africa,Nigerian,African,25.1465,269562.6848,53131.2498,6174.8467
48458,Rest Africa,Nigerian,African,2046.0613,604667.3832,1494.1625,65578.4802
48485,Rest Africa,Nigerian,African,12764.3184,376306.8358,63615.9593,5640.6586
48515,Rest Africa,Nigerian,African,82.2282,605873.7570,38289.0158,48966.7919
48528,Rest Africa,Nigerian,African,164788.1580,683301.5950,4819.7675,1894.1850
48570,Rest Africa,Nigerian,African,4478.8201,425729.6111,68888.6229,14721.6989
48660,Rest Africa,Nigerian,African,63302.7000,289140.0000,4700.5000,1121.8000
48723,Rest Africa,Nigerian,African,56570.4732,325930.0380,3927.6486,9449.5660
48784,Rest Africa,Nigerian,African,215.9113,203338.3627,44944.8662,1192.9884
48835,Rest Africa,Nigerian,African,72346.2083,1338786.1390,33565.0385,100940.6492
48866,Rest Africa,Nigerian,African,83334.2903,500433.2045,27048.9828,8019.4961
48900,Rest Africa,Nigerian,African,773.1801,205222.2242,269.2638,22740.7398
48922,Rest Africa,Nigerian,African,27441.3434,325050.0900,1340.1665,23803.6154
48969,Rest Africa,Nigerian,African,80164.5531,421021.7808,13480.2491,5155.0212
49045,Rest Africa,Nigerian,African,6930.1250,277357.9000,2775.8980,28619.8400
49090,Rest Africa,Nigerian,African,52152.3078,224987.0136,1172.0826,1318.1660
49115,Rest Africa,Nigerian,African,72353.0342,350685.3880,5967.5925,3620.6075
49185,Rest Africa,Nigerian,African,53449.9827,244331.9461,5284.2160,1181.6973
49216,Rest Africa,Nigerian,African,81290.2103,532341.3100,24293.5224,14517.7376
49264,Rest Africa,Nigerian,African,140801.5183,544843.4370,1546.4160,398.9599
49265,Rest Africa,Nigerian,African,11756.8483,233779.7113,42411.1522,1449.4929
49269,Rest Africa,Nigerian,African,63585.6968,306270.1987,6293.5161,2694.9129
49375,Rest Africa,Nigerian,African,2856.4927,563171.2925,23245.2962,50194.1542
49381,Rest Africa,Nigerian,African,65264.8299,384182.3560,5869.5476,11418.8826
49467,Rest Africa,Nigerian,African,17.7072,265354.1565,52300.4551,6103.1318
49474,Northern Africa,Moroccan,African,67134.0394,325838.1750,11044.0681,554.7325
