Cuisine,A,A_se,b,b_se,c,c_se,R2,L_star,Shape,Peak_in_range,N_length_bins,N_recipes,Poor_fit_flag
Italian,11.956177183931015,0.20626217605774463,-0.24531757654180647,0.01258148778958595,-0.016805803255308956,0.001174316096599762,0.9728557697918133,-14.597194362864542,inverted MA (fall to trough then rise),False,25,16557,False
South American,12.778580686937014,0.2653314083969742,-0.28486228211984976,0.014962869813170297,-0.021137456846775125,0.0013888262969240003,0.955250832802256,-13.47665824629751,inverted MA (fall to trough then rise),False,24,7162,False
Deutschland ,12.002944462601448,0.412953284740162,-0.3310046919671809,0.026272314963018316,-0.033434459362959246,0.0026123046312156077,0.9528466129020422,-9.900106006615687,inverted MA (fall to trough then rise),False,20,4312,False
Rest Africa,11.061788208021659,0.3244861218786158,-0.21147215252525167,0.020961262163614474,-0.01593343960299104,0.0018991152747387934,0.9526471762551307,-13.272222306949589,inverted MA (fall to trough then rise),False,23,2728,False
Irish,11.976108859247544,0.34236548475324363,-0.2852728195315858,0.024096696784207425,-0.02631716138987746,0.002719539148161775,0.9348315622814161,-10.839802032802524,inverted MA (fall to trough then rise),False,18,2515,False
Spanish and Portuguese,10.674041913416982,0.37747393262453666,-0.2084639664726191,0.026162182457545514,-0.01785066262499446,0.0024798821352781594,0.9080678318510356,-11.67822006678499,inverted MA (fall to trough then rise),False,20,2827,False
Thai,10.965331381540922,0.4083138391918136,-0.21916185666488686,0.024321200146489256,-0.01738936059985611,0.0019411639151191218,0.8975689031531054,-12.603215363001924,inverted MA (fall to trough then rise),False,24,2595,True
Northern Africa,9.955181929337385,0.4996772335287258,-0.17404856696576138,0.03324704978480795,-0.01085828697577662,0.0027166408447640454,0.8932422010119558,-16.02909992653909,inverted MA (fall to trough then rise),False,23,1600,True
Australian,12.444349155716528,0.23539418579252913,-0.28340339044513,0.015494405840754098,-0.02710778575392085,0.0016920326354795182,0.8809537535051449,-10.454686082360627,inverted MA (fall to trough then rise),False,21,5813,True
French,11.905671696134249,0.2688337227461486,-0.30415863401546045,0.016766070370337234,-0.0306561333624871,0.0016156036340547533,0.8697558618447807,-9.921624179377082,inverted MA (fall to trough then rise),False,23,6370,True
Caribbean,11.681929671399388,0.30328821369666287,-0.23463725616926687,0.01926072812316994,-0.018202096320688994,0.001821275174476465,0.8505160037868393,-12.890672153106443,inverted MA (fall to trough then rise),False,24,3013,True
Eastern European,10.647809022661937,0.4259203674787677,-0.2772633351530015,0.030125790628035234,-0.029515075203557645,0.0029370414540385837,0.8130256561723599,-9.393956587973767,inverted MA (fall to trough then rise),False,20,2491,True
Central American,10.17790030032909,0.42782082585695613,-0.1686985894407224,0.03621930550216866,-0.015018068813870914,0.004327398096479251,0.8108582708079949,-11.23304144704077,inverted MA (fall to trough then rise),False,17,445,True
Greek,10.786083190785327,0.35028251309482483,-0.2417814337459598,0.02345427864912387,-0.020875778121276337,0.002164369784467865,0.808804127474833,-11.581912412622318,inverted MA (fall to trough then rise),False,22,4171,True
US,12.663401441437665,0.28810166612399196,-0.3034686155502362,0.017551869679670932,-0.025927619675513783,0.0017545512051121333,0.7864233665983943,-11.704453372433335,inverted MA (fall to trough then rise),False,22,5011,True
Canadian,13.712022328577238,0.2817412265712133,-0.3583341145592367,0.016689450768264197,-0.03137037851830397,0.0018057801439658155,0.7785338566369111,-11.422690177300735,inverted MA (fall to trough then rise),False,21,6688,True
Belgian,10.906333168189454,0.8131832778098352,-0.33929149086892885,0.06019084320818298,-0.04027816340826089,0.006429181787452781,0.7760442964360307,-8.42370808792492,inverted MA (fall to trough then rise),False,16,1043,True
Chinese and Mongolian,11.087152146915518,0.3042678095518534,-0.2184588573507229,0.01980339898894956,-0.017460682481671565,0.0018265692782839568,0.7264338965133728,-12.51147299540202,inverted MA (fall to trough then rise),False,23,5883,True
Korean,10.022253275351332,1.0219976827327715,-0.31603407758551944,0.07237753955840248,-0.03673141160860783,0.006485722840874142,0.7231850477963926,-8.603918655591727,inverted MA (fall to trough then rise),False,18,659,True
Indian Subcontinent,11.49635051349393,0.2546113605188968,-0.22608796992013586,0.014864037270430135,-0.013956728840904162,0.001237348496509342,0.6824120835082244,-16.199209176975682,inverted MA (fall to trough then rise),False,27,6457,True
UK,10.433965036692712,0.28747851590733314,-0.2110869444828608,0.021588286013147672,-0.023997942526877154,0.002192515548706051,0.6714863139643488,-8.79604342107446,inverted MA (fall to trough then rise),False,21,4377,True
Japanese,8.765866520241596,0.3272826606459794,-0.10587837122975545,0.02986744431162521,-0.014413831288404552,0.003122084674829063,0.6211126633819004,-7.345609166032842,inverted MA (fall to trough then rise),False,19,2028,True
Mexican,11.94633962900666,0.1757401121358574,-0.2512158684501953,0.010713161614502175,-0.01872175571893615,0.0009988686985729703,0.613907029918765,-13.41839260278899,inverted MA (fall to trough then rise),False,27,14438,True
Middle Eastern,9.529357557166033,0.2850547598079658,-0.15901116379656693,0.021540228907830004,-0.015678066312615944,0.0019735315975826116,0.603676987915057,-10.142268863132225,inverted MA (fall to trough then rise),False,23,3897,True
Scandinavian,9.475953530075317,0.428602965475294,-0.2360587791525282,0.03535031242682356,-0.02991895386728724,0.003600561721506947,0.5507806690365544,-7.889940945115396,inverted MA (fall to trough then rise),False,20,2801,True
Southeast Asian,8.593206811434834,0.3192406016341242,-0.06272580052158687,0.02495764491453724,-0.006525738869814233,0.0020689613412985986,-0.21147040645271464,-9.61206106663788,inverted MA (fall to trough then rise),False,23,1931,True
