Cuisine,Alpha,Sigma,CI_Lower,CI_Upper,xmin,Best_Model,R_truncated,p_truncated,R_lognormal,p_lognormal,R_exponential,p_exponential,Num_Recipes,Unique_Actions,Tail_Size
Indian Subcontinent,1.7981553566492718,0.1128762130254135,1.5769179791194614,2.0193927341790823,226.0,Power Law,-1.3011248394982762,0.10447013578479503,-0.8917271596749022,0.37253919227764676,2.0914150157775917,0.03649087729430699,6456,258,50
Chinese and Mongolian,1.5086069785916445,0.04393695098356565,1.4224905546638558,1.5947234025194332,20.0,Truncated Power Law,-2.7901337690716352,0.00022791962203261296,-2.2490108992814566,0.0245118026425387,4.008498259661549,6.11060890656791e-05,5878,259,134
Spanish and Portuguese,1.5054508282423433,0.04302683185187133,1.4211182378126754,1.5897834186720112,10.0,Truncated Power Law,-2.978418771713399,4.905424645940126e-05,-2.43341593347033,0.01495710821543964,3.8455739058637572,0.00012027060582333388,2840,256,138
Northern Africa,1.5047781954911792,0.040942918114200484,1.4245300759873463,1.5850263149950121,5.0,Truncated Power Law,-2.9452717308503416,0.00011512029960114578,-2.1731221048365263,0.02977112842846473,4.663281156782318,3.1120710779575375e-06,1609,230,152
French,1.4820144757548337,0.03553457860013496,1.4123667016985693,1.5516622498110981,14.0,Truncated Power Law,-3.4571946760148187,4.03318822861376e-06,-2.4086668202894868,0.01601090717861631,5.582779459014211,2.367048281192636e-08,6361,265,184
Southeast Asian,1.4754270679098025,0.03573528671994342,1.4053859059387135,1.5454682298808915,4.0,Truncated Power Law,-3.1743928235486996,1.6530133356007504e-05,-2.2493526466892413,0.02449006878644004,5.005587706395803,5.569184729125453e-07,1938,243,177
South American,1.4726535190826806,0.035035409803750174,1.4039841158673303,1.541322922298031,11.0,Truncated Power Law,-3.1693810918743592,4.0687254374560666e-05,-2.2459584432345383,0.02470666985272812,5.564124285976339,2.634721225603819e-08,7160,257,182
Japanese,1.4691568561776824,0.03506642983123727,1.4004266537084573,1.5378870586469076,4.0,Truncated Power Law,-3.5169393676506555,2.0165248937331626e-06,-2.645090894906531,0.00816689758610176,4.943141382248189,7.68736920452643e-07,2031,240,179
Thai,1.4681644635821967,0.03655750273009648,1.3965117582312074,1.5398171689331859,5.0,Truncated Power Law,-3.0377110195907306,3.9305402900979836e-05,-2.34056873697921,0.01925439374191694,4.7292737232346065,2.253244274826351e-06,2596,238,164
Italian,1.4619820115746285,0.03443410607543213,1.3944911636667816,1.5294728594824754,27.0,Truncated Power Law,-3.239951786429604,1.0821749297784677e-05,-2.1811832035591503,0.029169868654207797,5.434351797146245,5.499598395237604e-08,16547,267,180
Korean,1.460718570024176,0.038393214168681335,1.3854678702535606,1.5359692697947915,2.0,Truncated Power Law,-3.4758227207119154,1.8744439717055528e-06,-2.7668244717863946,0.005660522360034315,4.008558786483944,6.109043234782636e-05,668,187,144
Caribbean,1.4591691214971672,0.03246815995221166,1.3955315279908322,1.522806715003502,4.0,Truncated Power Law,-3.4943474634850844,2.738891858311554e-06,-2.5429541055274276,0.010991966579187587,5.674758265163936,1.3888463699561549e-08,3010,259,200
Greek,1.4588735408457354,0.033828606245009656,1.3925694726055164,1.5251776090859543,7.0,Truncated Power Law,-3.544295582437983,1.3212876872614743e-06,-2.5751763064499915,0.010018900229875477,5.380951690646165,7.409307817133262e-08,4170,261,184
Irish,1.4568493265290572,0.035352062263575845,1.3875592844924485,1.526139368565666,5.0,Truncated Power Law,-3.5277775694185407,1.1684185118321366e-06,-2.6114264471022786,0.009016538120503471,4.932574342931261,8.115287640386261e-07,2516,247,167
Deutschland ,1.4560449744297794,0.03605352086678378,1.3853800735308832,1.5267098753286756,10.0,Truncated Power Law,-3.6325341360201775,4.2850630521673594e-07,-2.8185502098001454,0.004824106545258039,4.42984546133542,9.430063942648539e-06,4313,258,160
US,1.4534393331112234,0.03477720930626085,1.385276002870952,1.5216026633514947,8.0,Truncated Power Law,-3.445348273975729,7.461608358849681e-06,-2.3593590767297954,0.01830653245708234,6.081657172907095,1.189466859520845e-09,5022,246,170
Eastern European,1.4524323477687906,0.032316596269199326,1.3890918190811599,1.5157728764564213,4.0,Truncated Power Law,-3.544079327653472,1.7057896325445299e-06,-2.61952900434253,0.00880512846276854,5.735045846027348,9.748597289996598e-09,2497,258,196
Central American,1.451604115788641,0.032340042449367216,1.3882176325878812,1.5149905989894008,1.0,Truncated Power Law,-3.518540142157394,1.107528683541581e-06,-2.8490015412334566,0.0043856668014359956,5.247306193586448,1.5433927062767793e-07,452,195,195
Middle Eastern,1.4492100863281698,0.032849494877155834,1.3848250763689445,1.5135950962873952,6.0,Truncated Power Law,-3.5421296618610243,8.849417901801715e-07,-2.712766028456774,0.00667241996547906,5.043901260471472,4.561347443956791e-07,3897,255,187
Belgian,1.4487662908454166,0.03299395389323528,1.3840981412146756,1.5134344404761577,2.0,Truncated Power Law,-3.5837264587945996,6.558860675687228e-07,-2.6270421864578863,0.008613065510357485,5.349394934005574,8.824877507556597e-08,1059,220,185
Mexican,1.4460351505878772,0.032444283177459905,1.3824443555600558,1.5096259456156986,17.0,Truncated Power Law,-3.5744512855348103,1.5831895083806558e-06,-2.549320533373122,0.01079330473666273,5.738515536486338,9.551000305138781e-09,14426,267,189
Scandinavian,1.4394325974513555,0.03146842191726983,1.3777544904935066,1.5011107044092045,4.0,Truncated Power Law,-3.8439172858527835,1.480245735985264e-07,-2.8051717726268395,0.005028977145084522,5.790805042684452,7.004984971059805e-09,2810,248,195
