Recipe Length,Recipes,Mean IC,Std IC,SEM
2,817,11.386,3.1,0.1085
3,2313,10.557,2.626,0.0546
4,4601,10.012,2.29,0.0338
5,7533,9.498,1.948,0.0224
6,9654,9.181,1.672,0.017
7,11389,8.98,1.488,0.0139
8,12396,8.83,1.325,0.0119
9,12341,8.762,1.2,0.0108
10,11722,8.698,1.101,0.0102
11,10333,8.699,1.035,0.0102
12,8633,8.722,1.007,0.0108
13,6894,8.711,0.966,0.0116
14,5350,8.722,0.922,0.0126
15,4174,8.727,0.895,0.0139
16,3059,8.783,0.898,0.0162
17,2184,8.816,0.909,0.0194
18,1434,8.801,0.837,0.0221
19,1077,8.87,0.866,0.0264
20,722,8.864,0.844,0.0314
21,498,8.936,0.832,0.0373
22,331,9.047,0.838,0.0461
23,213,9.089,0.833,0.0571
24,140,9.098,0.908,0.0767
25,86,9.197,0.775,0.0836
26,54,9.207,0.764,0.104
