Cuisine,Beta,Beta_Low,Beta_High,CI_Width,Beta_Ordering_Std,R2_mean,R2_min,N_recipes,N_permutations,Poor_fit_flag
Central American,0.5777923583456548,0.5682712675272946,0.587313449164015,0.019042181636720425,0.03434912184671164,0.9987999690598974,0.9970691383497226,455,50,False
Korean,0.5587949335695211,0.5490960730502323,0.56849379408881,0.01939772103857759,0.03499045940291626,0.9987811078227986,0.9964936448545175,668,50,False
Mexican,0.550528743503629,0.5462199578302709,0.5548375291769871,0.008617571346716346,0.015544752899545964,0.9998181417818748,0.9995648444548175,14447,50,False
Belgian,0.546751090423918,0.5353312290060472,0.5581709518417888,0.022839722835741448,0.041199293106056176,0.9991321614370815,0.9972802075581196,1060,50,False
Irish,0.5388250707177913,0.5335499998464929,0.5441001415890897,0.010550141742596926,0.019030808083340678,0.9994846944914053,0.9986182235353099,2529,50,False
Italian,0.5352759390410632,0.5316476719392612,0.5389042061428652,0.0072565342036038415,0.013089654447143877,0.9998030640944647,0.9992206722602263,16574,50,False
Japanese,0.5324952247262186,0.5251885720393523,0.5398018774130848,0.01461330537373257,0.026360120727847235,0.9993846655224449,0.9984050778038992,2040,50,False
UK,0.526247556299941,0.521952868700535,0.530542243899347,0.008589375198812046,0.0154938914521315,0.999608561878496,0.9987953334755723,4396,50,False
Greek,0.523375983034389,0.5176657903888161,0.529086175679962,0.011420385291145965,0.020600591538603105,0.9996022042355065,0.9988014039976634,4181,50,False
Scandinavian,0.5220371349427121,0.515353833955009,0.5287204359304152,0.013366601975406277,0.02411126249548796,0.9993833240446317,0.9986789854921578,2811,50,False
French,0.5191847395650349,0.514941180229802,0.5234282989002678,0.008487118670465796,0.015309436644442145,0.9996961557777984,0.9993424962209181,6375,50,False
Caribbean,0.5184077514630061,0.5123344662972115,0.5244810366288007,0.01214657033158926,0.021910515942923717,0.9995154128838682,0.9984832495532984,3023,50,False
Deutschland ,0.5175600561849131,0.5131380583461851,0.5219820540236411,0.008843995677456066,0.015953187031412495,0.9995547036104061,0.9990984994137277,4321,50,False
Eastern European,0.5168278409070802,0.510218108688356,0.5234375731258044,0.013219464437448446,0.023845849355546442,0.9994076491427257,0.9985729424239895,2503,50,False
Thai,0.5150322666255459,0.5102188682717361,0.5198456649793557,0.00962679670761962,0.017365237839444297,0.9995028368348009,0.9988868278918851,2603,50,False
Spanish and Portuguese,0.512095052422303,0.5064542043649001,0.517735900479706,0.011281696114805822,0.020350417923635518,0.9994679792024609,0.9986565855121479,2843,50,False
South American,0.5082443310639025,0.503537962675841,0.512950699451964,0.009412736776123086,0.016979107152858764,0.9997581528719366,0.9992989768503279,7171,50,False
Southeast Asian,0.5078777005832822,0.5014346049188798,0.5143207962476846,0.012886191328804836,0.023244676714962213,0.9993265050018953,0.9972221678388759,1940,50,False
Indian Subcontinent,0.5076197705490082,0.5018699524947525,0.5133695886032639,0.011499636108511398,0.020743547636495132,0.9996058497477945,0.9992083153767279,6463,50,False
US,0.5076086084494461,0.5020646075058466,0.5131526093930456,0.0110880018871991,0.020001023786346227,0.9995664312403453,0.998662479077457,5025,50,False
Rest Africa,0.5055085711300085,0.4991114956020942,0.5119056466579227,0.012794151055828507,0.02307865043648307,0.9994291384739595,0.9987285819051873,2739,50,False
Chinese and Mongolian,0.504376429991089,0.5009000427321427,0.5078528172500353,0.006952774517892616,0.012541719412405351,0.9996917679854205,0.9991237240630405,5888,50,False
Middle Eastern,0.5037487876075204,0.4984652531390338,0.509032322076007,0.010567068936973232,0.0190613420984681,0.9994956225073567,0.9984401091683089,3905,50,False
Canadian,0.5011581701809981,0.4965408955178255,0.5057754448441706,0.009234549326345135,0.01665768482107222,0.9996745044077708,0.9991272805500042,6694,50,False
Northern Africa,0.49703955126427773,0.4904344552734135,0.503644647255142,0.013210191981728492,0.023829123293511157,0.9990654572004962,0.9976252861154548,1610,50,False
Australian,0.4847201345887345,0.48106553646368605,0.4883747327137829,0.007309196250096825,0.013184648554762115,0.9996371906596528,0.9989963101291085,5819,50,False
