Cuisine,Beta,Lower_CI_95,Upper_CI_95,CI_Width,Beta_Ordering_Std,R2_mean,R2_min,N_recipes,N_permutations,Poor_fit_flag
Central American,0.5727232902665618,0.5600674537114265,0.585379126821697,0.02531167311027043,0.0456583053557383,0.9987851953689804,0.9970482666438895,455,50,False
Korean,0.55879681302276,0.5492083612716667,0.5683852647738532,0.019176903502186485,0.034592139052439075,0.9987801468397278,0.9964831775509033,668,50,False
Mexican,0.5505507787589512,0.5462318246725469,0.5548697328453555,0.008637908172808524,0.015581437357805122,0.9998187123122818,0.9995668779653452,14447,50,False
Belgian,0.5418923887750812,0.5296382668646415,0.5541465106855208,0.02450824382087935,0.04420904438958441,0.9991809117713396,0.9979402137261831,1060,50,False
Irish,0.5412394628628697,0.5352794586924474,0.547199467033292,0.01192000834084468,0.02150183349390684,0.999497649796962,0.9986079978993732,2529,50,False
Italian,0.5352909300416558,0.5316673734581809,0.5389144866251308,0.007247113166949891,0.013072660368307612,0.9998031610453465,0.9992237555805596,16574,50,False
Japanese,0.5304390688848322,0.5238224148059594,0.537055722963705,0.013233308157745625,0.02387082126498263,0.9994003639910767,0.9985616503806423,2040,50,False
UK,0.5248999024359474,0.5173297359448679,0.532470068927027,0.01514033298215914,0.02731079622731396,0.9996194423573256,0.9988168301265262,4396,50,False
Greek,0.5233969571068083,0.5177341672670245,0.5290597469465922,0.01132557967956771,0.02042957702115024,0.999603837151312,0.9988203629855766,4181,50,False
Scandinavian,0.5214498148497316,0.5145956122671741,0.5283040174322892,0.013708405165115126,0.024727822070167348,0.9993909361963895,0.9987524963900394,2811,50,False
French,0.519034019901975,0.5148431817899023,0.5232248580140476,0.00838167622414531,0.015119234938273482,0.999696835785125,0.9992998547214508,6375,50,False
Deutschland ,0.5176869838768962,0.5133278117806098,0.5220461559731825,0.008718344192572747,0.015726531375730983,0.999556543550948,0.9991020551198936,4321,50,False
Caribbean,0.5167764611744119,0.5110547706089059,0.5224981517399179,0.011443381131011848,0.020642072442450667,0.9995194000953255,0.9984502758352574,3023,50,False
Thai,0.5160097525808349,0.5113617924880522,0.5206577126736176,0.009295920185565387,0.016768388266791313,0.9995193540580881,0.9989106098091239,2603,50,False
Eastern European,0.5150127822018424,0.5075887145178004,0.5224368498858845,0.014848135368083985,0.026783717364153064,0.9994136527349913,0.9985986629952445,2503,50,False
Spanish and Portuguese,0.5121017576707476,0.5069002044907166,0.5173033108507786,0.01040310636006209,0.018765579215828585,0.99945673164834,0.9986892177230076,2843,50,False
Southeast Asian,0.5091027516774461,0.5033968716786645,0.5148086316762277,0.011411759997563211,0.02058503285599573,0.9993361129483802,0.9970749666841882,1940,50,False
South American,0.508265995663586,0.5035917143600157,0.5129402769671563,0.009348562607140492,0.016863346974122534,0.9997598964919499,0.9993057323573693,7171,50,False
Indian Subcontinent,0.5077457012312847,0.5019560868791305,0.5135353155834389,0.011579228704308307,0.02088712024930185,0.9996107606277929,0.9992509190626562,6463,50,False
US,0.5075255218876447,0.5019913294545684,0.513059714320721,0.01106838486615268,0.01996563774397734,0.999569883890388,0.9986144678735573,5025,50,False
Rest Africa,0.5062545202973197,0.4996102953736457,0.5128987452209935,0.013288449847347875,0.023970288261523025,0.9994415363833863,0.998819494233038,2739,50,False
Chinese and Mongolian,0.5042153665387165,0.5007538426116177,0.5076768904658152,0.0069230478541976136,0.01248809715352579,0.9996931790332763,0.9991246329065538,5888,50,False
Middle Eastern,0.5033321318853834,0.4970349216016747,0.5096293421690921,0.012594420567417434,0.02271836782738825,0.9995008867549225,0.9984360389390561,3905,50,False
Canadian,0.5014551442196908,0.49676699082104864,0.5061432976183331,0.009376306797284415,0.016913393160319718,0.9996745466237936,0.9991665867479597,6694,50,False
Northern Africa,0.5012455342972408,0.4930168390703458,0.5094742295241358,0.016457390453789994,0.029686562220687905,0.999093250496251,0.9976562389090646,1610,50,False
Australian,0.48465918886363446,0.481023403296666,0.48829497443060293,0.007271571133936961,0.01311677872114076,0.9996406185927976,0.9990132134599736,5819,50,False
