Cuisine,Alpha,Sigma,CI_Lower,CI_Upper,xmin,Best_Model,R_truncated,p_truncated
Indian Subcontinent,1.7981553566492718,0.1128762130254135,1.5769179791194614,2.0193927341790823,226.0,Truncated Power Law,-1.3011248394982762,0.10447013578479503
Chinese and Mongolian,1.5086069785916445,0.04393695098356565,1.4224905546638558,1.5947234025194332,20.0,Truncated Power Law,-2.7901337690716352,0.00022791962203261296
Spanish and Portuguese,1.5054508282423433,0.04302683185187133,1.4211182378126754,1.5897834186720112,10.0,Truncated Power Law,-2.978418771713399,4.905424645940126e-05
Northern Africa,1.5047781954911792,0.040942918114200484,1.4245300759873463,1.5850263149950121,5.0,Truncated Power Law,-2.9452717308503416,0.00011512029960114578
French,1.4820144757548337,0.03553457860013496,1.4123667016985693,1.5516622498110981,14.0,Truncated Power Law,-3.4571946760148187,4.03318822861376e-06
Southeast Asian,1.4754270679098025,0.03573528671994342,1.4053859059387135,1.5454682298808915,4.0,Truncated Power Law,-3.1743928235486996,1.6530133356007504e-05
South American,1.4726535190826806,0.035035409803750174,1.4039841158673303,1.541322922298031,11.0,Truncated Power Law,-3.1693810918743592,4.0687254374560666e-05
Japanese,1.4691568561776824,0.03506642983123727,1.4004266537084573,1.5378870586469076,4.0,Truncated Power Law,-3.5169393676506555,2.0165248937331626e-06
Thai,1.4681644635821967,0.03655750273009648,1.3965117582312074,1.5398171689331859,5.0,Truncated Power Law,-3.0377110195907306,3.9305402900979836e-05
Italian,1.4619820115746285,0.03443410607543213,1.3944911636667816,1.5294728594824754,27.0,Truncated Power Law,-3.239951786429604,1.0821749297784677e-05
Korean,1.460718570024176,0.038393214168681335,1.3854678702535606,1.5359692697947915,2.0,Truncated Power Law,-3.4758227207119154,1.8744439717055528e-06
Caribbean,1.4591691214971672,0.03246815995221166,1.3955315279908322,1.522806715003502,4.0,Truncated Power Law,-3.4943474634850844,2.738891858311554e-06
Greek,1.4588735408457354,0.033828606245009656,1.3925694726055164,1.5251776090859543,7.0,Truncated Power Law,-3.544295582437983,1.3212876872614743e-06
Irish,1.4568493265290572,0.035352062263575845,1.3875592844924485,1.526139368565666,5.0,Truncated Power Law,-3.5277775694185407,1.1684185118321366e-06
Deutschland ,1.4560449744297794,0.03605352086678378,1.3853800735308832,1.5267098753286756,10.0,Truncated Power Law,-3.6325341360201775,4.2850630521673594e-07
US,1.4534393331112234,0.03477720930626085,1.385276002870952,1.5216026633514947,8.0,Truncated Power Law,-3.445348273975729,7.461608358849681e-06
Eastern European,1.4524323477687906,0.032316596269199326,1.3890918190811599,1.5157728764564213,4.0,Truncated Power Law,-3.544079327653472,1.7057896325445299e-06
Central American,1.451604115788641,0.032340042449367216,1.3882176325878812,1.5149905989894008,1.0,Truncated Power Law,-3.518540142157394,1.107528683541581e-06
Middle Eastern,1.4492100863281698,0.032849494877155834,1.3848250763689445,1.5135950962873952,6.0,Truncated Power Law,-3.5421296618610243,8.849417901801715e-07
Belgian,1.4487662908454166,0.03299395389323528,1.3840981412146756,1.5134344404761577,2.0,Truncated Power Law,-3.5837264587945996,6.558860675687228e-07
Mexican,1.4460351505878772,0.032444283177459905,1.3824443555600558,1.5096259456156986,17.0,Truncated Power Law,-3.5744512855348103,1.5831895083806558e-06
Scandinavian,1.4394325974513555,0.03146842191726983,1.3777544904935066,1.5011107044092045,4.0,Truncated Power Law,-3.8439172858527835,1.480245735985264e-07
UK,1.4338733465938618,0.029385610977108668,1.376277549078729,1.4914691441089947,5.0,Truncated Power Law,-4.049434806524899,8.033311638122598e-08
Rest Africa,1.4303043933161845,0.029908222812836418,1.371684276603025,1.488924510029344,3.0,Truncated Power Law,-3.681035736934924,5.520487317278722e-07
Canadian,1.4262579077162982,0.029138390699783908,1.3691466619447217,1.4833691534878748,6.0,Truncated Power Law,-4.023808616364495,1.0459620625180577e-07
Australian,1.4252213926096233,0.030372956614973096,1.365690397644276,1.4847523875749706,6.0,Truncated Power Law,-3.943972624486335,1.2346823241582427e-07
