Cuisine,Beta,CI_Lower,CI_Upper,Beta_STD
Central American,0.3881194494035293,0.3312576352378535,0.44404191569603635,0.033269291323124985
Korean,0.34932885665035585,0.3030625127101517,0.4082638971305569,0.027593433276531458
Northern Africa,0.33598726215249514,0.2891811240782354,0.3913342571123659,0.025601070783515652
Belgian,0.3335436228203302,0.2909069682130312,0.38288013019628603,0.024119729250540355
Eastern European,0.3129466090144393,0.2752020967889589,0.35034457808381725,0.022291347012360872
Caribbean,0.3114011161873984,0.273436469163824,0.3646644324224822,0.02379863962865796
Southeast Asian,0.3093666074128466,0.2721300256796489,0.3676623416375264,0.024557387902115924
Rest Africa,0.3087278529841005,0.2681052341471518,0.3552363080427678,0.021173555271191025
Japanese,0.3082533838110072,0.27288774193846993,0.3585141010001013,0.022809889272960057
Spanish and Portuguese,0.307098320810852,0.2655728320024337,0.35605433688425614,0.023604563396974195
Thai,0.3066600300431954,0.25931469363627835,0.36099653798692655,0.025853259440012284
Irish,0.3060853191291132,0.26911243336504914,0.3453198764708053,0.0213799913408256
Scandinavian,0.30333919938796294,0.2594389008954333,0.35538019161504214,0.024005428719135614
Greek,0.2997458803368833,0.2616664714186906,0.34637180511990157,0.021929570934811984
Middle Eastern,0.2994952040752217,0.2589287076337219,0.3458210448277289,0.023297373025054715
South American,0.2991449703193165,0.25321634832142464,0.3537350803517346,0.023687367683392038
French,0.29903045232062114,0.251865184649478,0.3464096271864937,0.022806617683443574
UK,0.297912344986871,0.2658301743038102,0.34117686491415566,0.019298503385818705
Canadian,0.2930409628564165,0.2558148040725285,0.34137590057185974,0.022159361228210276
Deutschland ,0.2873228569964062,0.24827129891173008,0.33859875099278636,0.022413729277201824
US,0.28707708500734613,0.24556137586171584,0.32511160285976654,0.021765114770374898
Mexican,0.28507196549514946,0.24233845645451604,0.3337543764623948,0.024188476073769078
Australian,0.281926034331485,0.24503110375672796,0.31510901329485647,0.018625670446840416
Italian,0.2806184096142811,0.2435577822022014,0.3240169398594789,0.02072273880194472
Chinese and Mongolian,0.28018517236331814,0.24552137341251382,0.3287202019687141,0.022980613159247765
Indian Subcontinent,0.2772855982729163,0.23645395295528437,0.31862036404005467,0.02153749216853228
