Cuisine,Beta,Sigma,CI_Lower,CI_Upper,Mean_R2,Num_Recipes
Central American,0.4383,0.0049,0.4286,0.4479,0.97,452
Korean,0.4012,0.0039,0.3936,0.4088,0.9745,668
Northern Africa,0.3863,0.0031,0.3802,0.3924,0.9714,1609
Belgian,0.3804,0.0037,0.3732,0.3877,0.9638,1059
Thai,0.3661,0.0027,0.3608,0.3714,0.9645,2596
Eastern European,0.3594,0.0025,0.3545,0.3643,0.9689,2497
Irish,0.3583,0.0027,0.3531,0.3636,0.9612,2516
Southeast Asian,0.3582,0.0028,0.3526,0.3638,0.9614,1938
Spanish and Portuguese,0.3576,0.0027,0.3523,0.3629,0.9599,2840
Scandinavian,0.356,0.0028,0.3506,0.3614,0.9634,2810
French,0.3555,0.003,0.3497,0.3613,0.9575,6361
Japanese,0.3536,0.0028,0.3481,0.3591,0.9645,2031
South American,0.3516,0.0024,0.3468,0.3564,0.9589,7160
Middle Eastern,0.3511,0.0026,0.346,0.3562,0.9606,3897
Caribbean,0.351,0.0025,0.3461,0.3559,0.9596,3010
Rest Africa,0.3487,0.0024,0.344,0.3533,0.9671,2729
Canadian,0.3477,0.0023,0.3432,0.3522,0.9626,6671
UK,0.3455,0.0027,0.3402,0.3508,0.9584,4394
Greek,0.343,0.0024,0.3383,0.3477,0.9644,4170
Deutschland ,0.3337,0.0024,0.329,0.3384,0.9599,4313
Mexican,0.3325,0.0021,0.3285,0.3366,0.9589,14426
US,0.3273,0.0021,0.3233,0.3314,0.9643,5022
Italian,0.3248,0.0021,0.3206,0.329,0.958,16547
Chinese and Mongolian,0.3241,0.0022,0.3198,0.3284,0.951,5878
Australian,0.3178,0.002,0.3139,0.3216,0.9587,5803
Indian Subcontinent,0.3173,0.0023,0.3128,0.3217,0.9493,6456
