Cuisine,a,b,c,a_CI_low,a_CI_high,b_CI_low,b_CI_high,c_CI_low,c_CI_high,R2,RMSE,AIC,BIC,min_IC_L
Indian Subcontinent,6.402986591960673,-0.07561957361442968,1.741677724447492e-20,6.164853800686541,6.6411193832348046,-0.10391861552200736,-0.047320531706852006,-0.0028611183614520542,0.0028611183614520542,0.8174,0.1377,-116.9073,-112.6053,4.341766134628511e+18
Central American,6.234792938037572,-7.494314962585414e-17,0.011013252896285231,5.086004926268917,7.383580949806227,-0.17902419132381334,0.17902419132381317,-0.011822934249082356,0.033849440041652815,0.8141,0.0924,-41.6418,-40.734,6.804815101552099e-15
Australian,6.373708152398902,-0.04251581280433447,0.00013870640492142755,6.275428182495953,6.471988122301851,-0.05620220395665461,-0.028829421652014325,-0.0015154766359387305,0.0017928894457815855,0.8099,0.0863,-126.3194,-122.4319,306.5165795942749
Rest Africa,6.484933281826879,-0.06502778381408723,1.029380545652773e-19,6.237841063668018,6.73202549998574,-0.09738983522378031,-0.03266573240439415,-0.0037543376047089318,0.0037543376047089318,0.7989,0.1367,-97.4625,-93.6883,6.317176294880375e+17
Northern Africa,6.521244425711269,-0.0725776523114151,4.236090909461329e-21,6.093314784474872,6.949174066947666,-0.12664888240033695,-0.01850642222249324,-0.005730766163953982,0.005730766163953982,0.7796,0.1371,-85.4129,-82.0064,1.7133166842409488e+19
Middle Eastern,6.383339328158002,-0.05066893737142032,4.116407847266711e-16,6.191525013557027,6.575153642758978,-0.07552750572731132,-0.02581036901552932,-0.002756602253033939,0.0027566022530347623,0.7525,0.1154,-114.9302,-110.9336,123090177774936.52
Japanese,6.132753891742368,-0.018794139178873855,0.002175598557194408,5.993131125189112,6.272376658295624,-0.039177904072635314,0.0015896257148876047,-0.0003548034966600177,0.004706000611048834,0.7267,0.0961,-106.4245,-102.8903,8.63860619723441
Thai,6.329590569359605,-0.06844435099783477,6.908664245513109e-19,5.989604622830367,6.669576515888844,-0.11200830700640574,-0.02488039498926381,-0.004813047885854492,0.004813047885854494,0.6726,0.1804,-83.0493,-79.275,9.907031021559131e+16
Greek,6.227980221658255,-0.02693167844563443,0.001011321469367255,6.079501086898581,6.376459356417929,-0.046754399548085857,-0.007108957343183002,-0.0011972745815109595,0.0032199175202454696,0.6318,0.1064,-119.4769,-115.4802,26.630185614950452
Spanish and Portuguese,6.184915448265305,-0.049323909608909436,5.024989490679174e-20,5.840021776666896,6.529809119863714,-0.0922219869018493,-0.006425832315969583,-0.00415497471633213,0.00415497471633213,0.6081,0.1369,-101.3935,-97.506,9.815723933433112e+17
Southeast Asian,6.132307551695258,-0.04271817391243428,1.1761237318541544e-15,5.7416043415015094,6.523010761889007,-0.09344522447657765,0.008008876651709088,-0.00521219842486963,0.0052121984248719826,0.5703,0.1338,-90.5363,-87.0021,36321156316682.125
Italian,6.235896355055376,-0.04840003793776309,7.572156418718965e-14,6.073806290634574,6.397986419476178,-0.06709809683796356,-0.02970197903756262,-0.0017313598174379678,0.001731359817589411,0.5142,0.1464,-140.0045,-135.0918,639184338798.3164
