Cuisine,A,b,c,R_squared,RMSE,Recipe_Count
Middle Eastern,6.168718591509397,-0.03731880472802573,9.628205120403493e-26,0.6402918075790285,0.1368138406215217,3897
Rest Africa,6.212282153533191,-0.04227159255650084,4.925411078179489e-21,0.5273760334848951,0.1919186521333633,2729
Northern Africa,5.723578497769781,-0.013162274142066074,0.0016317336124823066,0.2020076294399854,0.287346291457775,1609
Chinese and Mongolian,5.788572918755922,-0.03544694559417858,1.8654784107642303e-16,0.5267416228558207,0.1539411375288518,5878
Thai,6.103409200528305,-0.0533094348308865,6.965763670636158e-16,0.5105906574331387,0.23962125161081987,2596
Southeast Asian,5.800190599757634,-0.021614123158328568,0.00048557843246495997,0.3376013512560846,0.17867534964234966,1938
Indian Subcontinent,6.0860893226345505,-0.055690403514653736,7.152792394246902e-23,0.5725633997073383,0.22182355511249416,6456
Japanese,5.985986954449247,-0.02581160879000099,4.082207137364444e-18,0.45690607433536534,0.136014538915441,2031
Australian,6.044610452421193,-0.023863275051762393,1.1907305069711167e-18,0.5758009028033371,0.09967871555239906,5803
Mexican,5.691682425383737,-0.0053247126505175865,1.4823757236115995e-20,0.04684770921519754,0.11682835152365861,14426
Caribbean,5.921226242415811,-0.015986393255876436,0.0010977237956895796,0.3112007145130786,0.19689449588280655,3010
South American,5.48950131085095,-0.008296978902163863,7.453825414296035e-17,0.07102731668309659,0.1385020464542804,7160
Eastern European,5.746008143734035,-0.004832947577148967,5.6120969288155226e-18,0.016063049141551544,0.18525075712286218,2497
Scandinavian,5.6555512985474925,0.009053429504642057,0.00010557414318322892,0.08808859384523438,0.1250297453490084,2810
UK,6.03664371597286,-0.013049560686695227,4.576046485659662e-24,0.25193895299021385,0.1128620789232549,4394
Deutschland ,5.532281354850271,0.013017593938777794,5.480760861864562e-22,0.13332179497575758,0.162795834458848,4313
Greek,6.0368784440241985,-0.022238580523519808,1.0584446390928477e-17,0.5987758743737164,0.0902829422593333,4170
French,6.126847190844106,-0.019619721104663427,4.523439569205914e-20,0.32798710273413856,0.1440382512866315,6361
Spanish and Portuguese,6.692949248342299,-0.07474442836405473,8.004918189864812e-19,0.6549016612435926,0.2592931213419294,2840
Italian,6.053993445206249,-0.02840655692881985,4.661507212623184e-20,0.3461011061718612,0.19170149239087886,16547
Irish,5.912613346317244,-0.005035901390341898,0.001953825525940272,0.484324013325623,0.13661926397991325,2516
US,5.643666288712244,-0.008390409681087271,1.9408337405312765e-13,0.0629536921586209,0.15426090189939637,5022
Canadian,5.822863656903961,-0.005806335487806115,3.675232830771708e-23,0.05987853078266214,0.11340655127348759,6671
