Cuisine,A,b,c,R_squared,RMSE
Middle Eastern,6.1687,-0.0373,0.0,0.6403,0.1368
Rest Africa,6.2123,-0.0423,0.0,0.5274,0.1919
Northern Africa,5.7236,-0.0132,0.0016,0.202,0.2873
Chinese and Mongolian,5.7886,-0.0354,0.0,0.5267,0.1539
Thai,6.1034,-0.0533,0.0,0.5106,0.2396
Southeast Asian,5.8002,-0.0216,0.0005,0.3376,0.1787
Indian Subcontinent,6.0861,-0.0557,0.0,0.5726,0.2218
Korean,5.6319,0.0015,0.0024,0.1608,0.2114
Japanese,5.986,-0.0258,0.0,0.4569,0.136
Australian,6.0446,-0.0239,0.0,0.5758,0.0997
Mexican,5.6917,-0.0053,0.0,0.0468,0.1168
Caribbean,5.9212,-0.016,0.0011,0.3112,0.1969
South American,5.4895,-0.0083,0.0,0.071,0.1385
Eastern European,5.746,-0.0048,0.0,0.0161,0.1853
Scandinavian,5.6556,0.0091,0.0001,0.0881,0.125
UK,6.0366,-0.013,0.0,0.2519,0.1129
Belgian,6.0954,-0.0271,0.0,0.3785,0.1666
Deutschland ,5.5323,0.013,0.0,0.1333,0.1628
Greek,6.0369,-0.0222,0.0,0.5988,0.0903
French,6.1268,-0.0196,0.0,0.328,0.144
Spanish and Portuguese,6.6929,-0.0747,0.0,0.6549,0.2593
Italian,6.054,-0.0284,0.0,0.3461,0.1917
Irish,5.9126,-0.005,0.002,0.4843,0.1366
US,5.6437,-0.0084,0.0,0.063,0.1543
Canadian,5.8229,-0.0058,0.0,0.0599,0.1134
Central American,6.5975,-0.0622,0.0,0.5212,0.2857
