Cuisine,a,b,c,R²,RMSE,MAE,Min IC Length
Australian,14.788952491064622,-0.31939886274672535,-0.02438709965986302,0.9893314188374587,0.09569863543105724,0.07316644955194364,13.1
Deutschland ,14.60599998393642,-0.38200590714897575,-0.03394062510263305,0.9881937472680975,0.09945514486538286,0.083755169761406,11.2
Rest Africa,13.609428751338323,-0.31869066171876465,-0.02546229856901734,0.9831038577658939,0.10131739150365317,0.0892699727044354,12.5
Italian,12.605847167934606,-0.22380476138240835,-0.014464553200229368,0.9805242819861084,0.0915242378555769,0.06308830371285333,15.5
Irish,15.975505139857853,-0.3792300694914167,-0.028533810068843854,0.9761632125459204,0.17955045427956323,0.11687825764015593,13.3
Chinese and Mongolian,11.464660431961121,-0.18710842235494685,-0.017517714972203887,0.9738663891858913,0.06115523492941756,0.053920821316262836,10.7
Canadian,14.15253697870574,-0.31959102607517426,-0.02557058936822199,0.967188954971833,0.1566502269110989,0.13302733516313975,12.5
US,13.447578902856465,-0.26645327051403017,-0.02019429229303595,0.9671456155631539,0.13154364099143107,0.09633215968291457,13.2
French,14.35181126488954,-0.3536918799654723,-0.03054423608007748,0.9666768950407583,0.15363668524656537,0.11973628405890206,11.6
South American,14.180260648317255,-0.30310487351269333,-0.021175466126195447,0.963813294514693,0.16976052325612906,0.09558164689097878,14.3
Caribbean,15.472916570803346,-0.3450888097577876,-0.023179838332618594,0.9580332079625538,0.2235292524367324,0.14303752740568595,14.9
Spanish and Portuguese,12.263627287217762,-0.280715068885481,-0.027051753956668794,0.9551606848934923,0.07466872447293933,0.057389480290990405,10.4
Central American,16.63295972808604,-0.4635487817385431,-0.04044178121219942,0.9481640100430123,0.13042246167361882,0.09085809756111925,11.5
UK,14.506534603044713,-0.37893519178354457,-0.0368513610840793,0.9360116078750539,0.21260644617705998,0.16379103099393078,10.3
Eastern European,13.218036928545141,-0.34283122889002715,-0.03266586270059845,0.9154706675246144,0.21883358025387106,0.13826839326901136,10.5
Belgian,15.530116948781668,-0.4997253761682514,-0.05212341409298339,0.9120597959260908,0.18873822731209491,0.17165786023566268,9.6
Mexican,12.093287701654473,-0.17701600153802943,-0.010685407660161092,0.9066667932063177,0.17480530595615296,0.125800024657505,16.6
Middle Eastern,10.548868160421,-0.16043972350795532,-0.014223497243876032,0.8892316040157451,0.11574956717925775,0.08563929934201568,11.3
Greek,13.942321530595445,-0.3419697158419118,-0.027505637050790007,0.8733044335726505,0.20617427124220938,0.1568347878003896,12.4
Indian Subcontinent,10.470838944006248,-0.11245311610200079,-0.009302503301214573,0.8421236413805265,0.10468703666165802,0.0798871679377619,12.1
Japanese,11.656833401176003,-0.13242168381885328,-0.009893657089689655,0.8320577979341923,0.17803981982950481,0.13814506989999487,13.4
Scandinavian,12.56707265927701,-0.3096419519253641,-0.029885841629612674,0.7809190937835367,0.20694985400427438,0.18455293847545787,10.4
Northern Africa,10.981375739475206,-0.17448923493167315,-0.012963862967354781,0.727367043597007,0.12821296349813854,0.10540240434090385,13.4
Thai,10.772557874562949,-0.09957407926479628,-0.008329328834674639,0.5776641312159558,0.08991641340483825,0.07559626536609818,12.0
Korean,8.341338172979585,-0.0008091839348439268,-0.007634330434209813,0.4995750800493144,0.23531418707487117,0.18360327928160114,2.0
Southeast Asian,9.276648452102682,-0.04744823194768113,-0.007470499770947288,0.31152433135303925,0.22760584553513488,0.15626521350574127,6.3
