Cuisine,Beta,CI_Low,CI_High,R_Squared,Recipe_Count
Canadian,0.36386257239155223,0.34076621700009413,0.38695892778301033,0.9875706218389906,6671
Irish,0.3597177298896148,0.3379716984542343,0.3814637613249953,0.9915108506731966,2516
French,0.34652534369802357,0.3212799561617877,0.3717707312342594,0.9863722926268044,6361
Scandinavian,0.3421727072666239,0.3261324997957156,0.3582129147375322,0.9954446245098415,2810
Japanese,0.3200754851563819,0.2930318794332621,0.3471190908795017,0.9853514921155098,2031
Caribbean,0.31841358068551145,0.29967938857812404,0.33714777279289887,0.9910694395342613,3010
UK,0.31634550364928654,0.29875525252863205,0.33393575476994103,0.9928085474173487,4394
Middle Eastern,0.3146908315497172,0.29896817528476355,0.3304134878146709,0.9922628769031508,3897
US,0.31311803638452157,0.29827618090884567,0.32795989186019747,0.9913034705902446,5022
Northern Africa,0.3130774592956541,0.28623363202879576,0.33992128656251247,0.9849212745974584,1609
Indian Subcontinent,0.310383860916056,0.29139163035567844,0.3293760914764336,0.9855911409499746,6456
Greek,0.3069985545636313,0.2795681388640989,0.33442897026316365,0.9756687940332507,4170
Spanish and Portuguese,0.2994760495875086,0.2866987722906976,0.3122533268843196,0.9934098273299131,2840
Thai,0.29916016938251927,0.2815744463076456,0.31674589245739293,0.9902024506802791,2596
Mexican,0.2978723681933658,0.27870875636395076,0.3170359800227809,0.9809755186443024,14426
Rest Africa,0.29768527358929303,0.27844700677206535,0.3169235404065207,0.9871217453517108,2729
Chinese and Mongolian,0.29657582062028837,0.2787066738946812,0.31444496734589555,0.9832747962206122,5878
South American,0.2937865688185982,0.27961488565641623,0.3079582519807802,0.9898078300202625,7160
Deutschland ,0.29290156209819956,0.27912846483660914,0.30667465935979,0.9903099111937438,4313
Australian,0.27844350256881073,0.26942437710313955,0.2874626280344819,0.9948376392855816,5803
Italian,0.2749483538928997,0.25332851560592295,0.2965681921798764,0.9779635716632473,16547
Southeast Asian,0.2680540032921583,0.25311421457984035,0.2829937920044762,0.9935727994221506,1938
Eastern European,0.2556198056956582,0.23369661248267173,0.2775429989086446,0.9775393675161892,2497
