Cuisine,Alpha,Alpha_Low,Alpha_High,R_Squared,Num_Recipes
Indian Subcontinent,1.617805488943493,1.6033129769188925,1.6322980009680934,0.9499162044774067,6463
Middle Eastern,1.525420799140549,1.5106415728453175,1.5402000254357806,0.9552541291950502,3905
South American,1.5211920056189991,1.5093643257205445,1.5330196855174538,0.9503192582121837,7171
Australian,1.5156669563410465,1.504541139600834,1.5267927730812592,0.9605380936696706,5819
Chinese and Mongolian,1.5069386922766363,1.4945064726183226,1.51937091193495,0.952849191453602,5888
Northern Africa,1.499507871850885,1.4821596555936902,1.5168560881080797,0.9614433719975377,1610
Thai,1.4953691675696528,1.478988393618305,1.5117499415210005,0.9478889326612258,2603
Rest Africa,1.4819774341601684,1.466819974355003,1.4971348939653337,0.9530771883645265,2739
Italian,1.4749736324170974,1.4638634211936215,1.4860838436405734,0.9312183846116575,16574
Greek,1.4567692953635856,1.4416274791372,1.4719111115899712,0.9454903726641241,4181
Canadian,1.452291344660034,1.4416740161678678,1.4629086731522003,0.9569054267212385,6694
Southeast Asian,1.4377037136918607,1.4220814076521175,1.4533260197316038,0.9537150176780805,1940
Spanish and Portuguese,1.4246583768544177,1.4101364587094696,1.4391802949993657,0.9518085704326232,2843
French,1.4233990278996687,1.4117734499560897,1.4350246058432476,0.9487163264431603,6375
US,1.4190622959713495,1.4078293755663673,1.4302952163763316,0.9559223218351427,5025
Mexican,1.4133928752494829,1.40223428526956,1.4245514652294058,0.9274963754304102,14447
Eastern European,1.4025294812954243,1.386741241034796,1.4183177215560527,0.9500168843224555,2503
UK,1.398379802749849,1.3856994858052334,1.4110601196944648,0.9482827906461399,4396
Caribbean,1.3885583714925753,1.3749939628765677,1.402122780108583,0.949860492691634,3023
Deutschland ,1.3772870691988057,1.3648203987841303,1.3897537396134811,0.9507663150537438,4321
Scandinavian,1.3636105353161794,1.3487019870825736,1.3785190835497851,0.9521245372436478,2811
Japanese,1.3422219179167547,1.3271255025579058,1.3573183332756036,0.9503063380627929,2040
Irish,1.3120515787441598,1.2978470527796735,1.326256104708646,0.9442001275280318,2529
Belgian,1.1989929849357512,1.1820948777540243,1.2158910921174781,0.9465559196669607,1060
Korean,1.1803628077436201,1.1600732773865199,1.2006523381007204,0.9418995154318109,668
Central American,1.100359553900037,1.0809952817399302,1.1197238260601439,0.9375684647668373,455
