Cuisine,Alpha,Alpha_Low,Alpha_High,R_Squared,N_unique_ingredients,N_recipes,Head_cutoff_used,Frac_vocab_excluded_by_cutoff
Indian Subcontinent,1.5896438464569493,1.578777118366307,1.6005105745475916,0.9688170356706596,2657,74098,10,0.003763643206624012
Italian,1.5099182499950168,1.5018572936215344,1.5179792063684991,0.9624822381625537,5265,165535,10,0.001899335232668566
Middle Eastern,1.4892985323604753,1.4779155741161312,1.5006814906048194,0.9703840517519214,2018,38057,10,0.004955401387512388
South American,1.4837734321827845,1.4749978318548809,1.492549032510688,0.9692345949377525,3497,75083,10,0.0028595939376608523
Chinese and Mongolian,1.4800540290168467,1.4708204101338664,1.489287647899827,0.9711703323521768,2941,62218,10,0.0034002040122407345
Mexican,1.4737501222120286,1.465537064670775,1.4819631797532822,0.9606929178354929,5072,141658,10,0.001971608832807571
Northern Africa,1.4708207056519966,1.4573146090795157,1.4843268022244775,0.9743155235161329,1212,19274,10,0.00825082508250825
Thai,1.468586057420294,1.4560728491534953,1.4810992656870927,0.9663600759390061,1853,30168,10,0.005396654074473826
Greek,1.4644436393707048,1.4531061850013844,1.475781093740025,0.9675886986307082,2158,42136,10,0.004633920296570899
Australian,1.4370475217642933,1.4281143627771968,1.4459806807513897,0.9700154901636135,3084,49169,10,0.00324254215304799
Rest Africa,1.422719357340055,1.4109680755644092,1.4344706391157007,0.9674755132338576,1904,27354,10,0.005252100840336135
Canadian,1.4215866301298334,1.4136566775854134,1.4295165826742535,0.9732212978586752,3408,60454,10,0.0029342723004694834
French,1.4071371535881472,1.398613429390151,1.4156608777861432,0.9697483542428346,3277,57983,10,0.003051571559353067
Southeast Asian,1.3934564575934827,1.3813196547865445,1.4055932604004209,0.9684079341659512,1663,21452,10,0.006013229104028864
Spanish and Portuguese,1.3916217675831783,1.3806047745615737,1.402638760604783,0.9690145402464742,1971,27717,10,0.0050735667174023336
US,1.3856456349946333,1.377263098848733,1.3940281711405336,0.9725297898528906,2976,46532,10,0.003360215053763441
Caribbean,1.380895925389919,1.3705648769036352,1.3912269738762026,0.9685863595062589,2237,30276,10,0.004470272686633884
Eastern European,1.3797913412987735,1.3678149785696168,1.3917677040279302,0.968305801085869,1680,23272,10,0.005952380952380952
Deutschland ,1.3708383726625715,1.3615675866335433,1.3801091586915997,0.9705915089551524,2556,39972,10,0.003912363067292645
UK,1.36301515025596,1.3534654224278269,1.372564878084093,0.9669840172454606,2683,37325,10,0.003727171077152441
Scandinavian,1.353176555829029,1.3419001540237756,1.3644529576342823,0.9703389126534654,1702,23992,10,0.005875440658049354
Japanese,1.3129813586750574,1.3015773105155388,1.324385406834576,0.9684122473875297,1672,18126,10,0.005980861244019139
Irish,1.2943901844752788,1.2837650647881893,1.3050153041623682,0.9656510653508189,2039,21745,10,0.004904364884747425
Belgian,1.2046396797016836,1.1916222655529218,1.2176570938504454,0.966536977100453,1150,9595,10,0.008695652173913044
Korean,1.192667165473687,1.176671067466804,1.2086632634805698,0.9624157227021768,845,6886,10,0.011834319526627219
Central American,1.0746691368100936,1.059302203265332,1.090036070354855,0.956278958976748,870,4327,10,0.011494252873563218
