Cuisine,Alpha,Lower_CI_95,Upper_CI_95,CI_Width,R_Squared,N_recipes,N_unique_ingredients,Head_cutoff_rank,Head_cutoff_method,Frac_vocab_excluded,Poor_fit_flag
Indian Subcontinent,1.598803203912522,1.587901667009492,1.6097047408155518,0.02180307380605971,0.9690160294959358,6463,2657,14,R2-peak,0.0049,False
Italian,1.5060791046528896,1.4980581110439881,1.5141000982617911,0.016041987217803037,0.9626363855828605,16574,5265,7,R2-peak,0.0011,False
South American,1.4938683520415554,1.485050608986174,1.502686095096937,0.017635486110763165,0.9694041719632307,7171,3497,16,R2-peak,0.0043,False
Middle Eastern,1.491788928655451,1.4803890065484646,1.5031888507624376,0.02279984421397301,0.9704088037479451,3905,2018,11,R2-peak,0.005,False
Chinese and Mongolian,1.4782843340648388,1.4690674960484562,1.4875011720812215,0.018433676032765335,0.9711956315987516,5888,2941,9,R2-peak,0.0027,False
Northern Africa,1.4708207056519966,1.4573146090795157,1.4843268022244775,0.027012193144961897,0.9743155235161329,1610,1212,10,R2-peak,0.0074,False
Australian,1.469105706870153,1.4601461377691443,1.4780652759711617,0.017919138202017494,0.9712809598776931,5819,3084,29,R2-peak,0.0091,False
Mexican,1.468155351761335,1.4599949575999343,1.4763157459227358,0.01632078832280174,0.9608613120955615,14447,5072,6,R2-peak,0.001,False
Thai,1.4658755060472157,1.4533889603248693,1.4783620517695621,0.0249730914446927,0.9663610031762323,2603,1853,9,R2-peak,0.0043,False
Greek,1.4578725962776122,1.4466322826155,1.4691129099397244,0.022480627324224567,0.9678018814565483,4181,2158,7,R2-peak,0.0028,False
Canadian,1.4294860080609841,1.4215289348060653,1.437443081315903,0.015914146509837624,0.9733701559993817,6694,3408,15,R2-peak,0.0041,False
Rest Africa,1.425438398835313,1.413673951768209,1.4372028459024169,0.02352889413420756,0.9675417691584972,2739,1904,11,R2-peak,0.0053,False
French,1.4055318630214326,1.3970224690897648,1.4140412569531005,0.017018787863335702,0.969771116661264,6375,3277,9,R2-peak,0.0024,False
Spanish and Portuguese,1.3916217675831783,1.3806047745615737,1.402638760604783,0.02203398604320919,0.9690145402464742,2843,1971,10,R2-peak,0.0046,False
Southeast Asian,1.3881894781878186,1.3761165157796693,1.4002624405959678,0.024145924816298382,0.9684618594482957,1940,1663,8,R2-peak,0.0042,False
Caribbean,1.3874859627168072,1.37711768258602,1.3978542428475944,0.02073656026157437,0.9686980080394421,3023,2237,13,R2-peak,0.0054,False
US,1.3809827278974254,1.3726556000720485,1.3893098557228023,0.016654255650754037,0.9726766336019156,5025,2976,7,R2-peak,0.002,False
Eastern European,1.3709162458186432,1.3591358854265885,1.382696606210698,0.02356072078410964,0.9688446071238834,2503,1680,6,R2-peak,0.003,False
UK,1.3690725894197564,1.3594978745401596,1.3786473042993532,0.019149429759193697,0.9671358310729657,4396,2683,13,R2-peak,0.0045,False
Deutschland ,1.362221230381364,1.3530859104734732,1.3713565502892546,0.01827063981578161,0.9710128675723799,4321,2556,5,R2-peak,0.0016,False
Scandinavian,1.3377628033454827,1.3268471998631086,1.3486784068278568,0.021831206964748044,0.971413118757139,2811,1702,3,R2-peak,0.0012,False
Japanese,1.3084431413260136,1.2971135862670575,1.3197726963849696,0.02265911011791219,0.968564199951109,2040,1672,8,R2-peak,0.0042,False
Irish,1.2855959547758262,1.2750894114785507,1.2961024980731017,0.02101308659455089,0.9658772357134982,2529,2039,6,R2-peak,0.0025,False
Korean,1.1869712418847516,1.1721492809686223,1.2017932028008809,0.02964392183225881,0.9669906434589004,668,845,3,R2-peak,0.0024,False
Belgian,1.1864296981529048,1.174159799782154,1.1986995965236555,0.02453979674150137,0.969054507847884,1060,1150,2,R2-peak,0.0009,False
Central American,1.0582763741790655,1.0436382378438516,1.0729145105142794,0.029276272670427768,0.9586990869719147,455,870,4,R2-peak,0.0034,False
